ID,type,capacity,speed,consumption,maxBattery,depot
1,1,15,25.0,0.552,69.0,2
2,1,15,25.0,0.552,69.0,2
3,1,15,25.0,0.552,69.0,1
4,1,15,25.0,0.552,69.0,2
5,1,15,25.0,0.552,69.0,1
6,1,15,25.0,0.552,69.0,1
7,1,15,25.0,0.552,69.0,2
8,2,22,25.0,0.8280000000000001,103.5,2
9,2,22,25.0,0.8280000000000001,103.5,1
10,2,22,25.0,0.8280000000000001,103.5,2
11,2,22,25.0,0.8280000000000001,103.5,1
12,2,22,25.0,0.8280000000000001,103.5,1
13,2,22,25.0,0.8280000000000001,103.5,1
14,2,22,25.0,0.8280000000000001,103.5,2
